Test No.,
Title,
Tester,
Channel No.,1,2,3,4
Channel Name,Fx-1,Fy-1,Fz-1,Mark
Unit,N,N,N,
Number of data,540,540,540,540
maximum value,0.01293,0.09971,1.52343,4
minimum value,-0.04558,0.03481,1.36792,0
0.000000,-0.01535,0.06069,1.49209,0
0.100000,-0.01535,0.06069,1.49209,0
0.200000,-0.01566,0.06076,1.46101,0
0.300000,-0.01566,0.06076,1.46101,0
0.400000,-0.01591,0.07368,1.46115,0
0.500000,-0.01591,0.07368,1.46115,0
0.600000,-0.01566,0.06076,1.46101,0
0.700000,-0.01591,0.07368,1.46115,0
0.800000,-0.03018,0.07342,1.49214,0
0.900000,-0.01591,0.07368,1.46115,0
1.000000,-0.03024,0.06058,1.46094,0
1.100000,-0.01566,0.06076,1.46101,0
1.200000,-0.01591,0.07368,1.46115,0
1.300000,-0.03056,0.06065,1.42986,0
1.400000,-0.01591,0.07368,1.46115,0
1.500000,-0.01598,0.06084,1.42994,0
1.600000,-0.00165,0.07394,1.43015,0
1.700000,-0.03049,0.07349,1.46107,0
1.800000,-0.00108,0.06095,1.46109,0
1.900000,-0.03049,0.07349,1.46107,0
2.000000,-0.01572,0.04792,1.42981,0
2.100000,-0.01566,0.06076,1.46101,0
2.200000,-0.01623,0.07376,1.43007,0
2.300000,-0.03024,0.06058,1.46094,0
2.400000,-0.01591,0.07368,1.46115,1
2.500000,-0.04514,0.06046,1.42979,1
2.600000,-0.03081,0.07357,1.42999,1
2.700000,-0.03056,0.06065,1.42986,1
2.800000,-0.03049,0.07349,1.46107,1
2.900000,-0.02993,0.06050,1.49201,1
3.000000,-0.03030,0.04773,1.42973,1
3.100000,-0.01566,0.06076,1.46101,1
3.200000,-0.04482,0.06039,1.46086,1
3.300000,-0.02993,0.06050,1.49201,1
3.400000,-0.03081,0.07357,1.42999,1
3.500000,-0.04482,0.06039,1.46086,1
3.600000,-0.01566,0.06076,1.46101,1
3.700000,-0.01598,0.06084,1.42994,1
3.800000,-0.03056,0.06065,1.42986,1
3.900000,-0.00133,0.07387,1.46122,1
4.000000,-0.03081,0.07357,1.42999,1
4.100000,-0.03030,0.04773,1.42973,1
4.200000,-0.03024,0.06058,1.46094,1
4.300000,-0.04539,0.07338,1.42992,1
4.400000,-0.04507,0.07331,1.46099,1
4.500000,-0.01566,0.06076,1.46101,1
4.600000,-0.03030,0.04773,1.42973,1
4.700000,-0.01598,0.06084,1.42994,1
